site,plot,temperature,moisture,species_richness
1,1,27.69895302768137,59.1120967677132,17
1,1,28.082278581757198,51.42458432045787,20
1,1,28.08283908738717,36.1051647601184,16
1,1,16.539492395654595,41.339622553278865,13
1,1,26.84371029005597,48.36715067770706,16
1,2,29.839296049735317,75.53026113460592,16
1,2,31.382893407338283,31.397724257815852,13
1,2,23.875193644779422,61.310546518460214,11
1,2,23.390537069085994,44.72765742766079,15
1,2,32.439189159390196,66.65990899987419,15
1,3,16.6603597711034,38.60799360026596,13
1,3,22.815850115434376,51.43623234662748,10
1,3,27.287310396787273,39.004490582972494,12
1,3,16.91113117309387,59.03516426361675,11
1,3,26.398139312158786,64.83779488738085,17
1,4,34.389320105260964,69.50721006401152,15
1,4,24.979696732818297,57.976006575895184,13
1,4,23.60772987518207,68.43266254577821,15
1,4,27.374558570170272,62.464239086616466,15
1,4,23.604639146063466,48.68125088175985,15
2,1,29.067001870395323,54.770372382847,20
2,1,29.522177322248474,40.280057885240666,14
2,1,25.013458306150604,48.147978305990065,14
2,1,19.116539211251364,62.20963708348822,13
2,1,18.40889636270456,55.4128414348235,17
2,2,22.035013171723413,54.5735733162533,13
2,2,28.986902502749178,39.61868960312795,16
2,2,15.208974126715374,43.95486769665883,15
2,2,15.568374206337271,42.353939862464316,11
2,2,21.731100876199484,53.95295870013499,18
2,3,26.971974239902924,40.094923695334415,17
2,3,20.43216975917504,55.62041390099052,12
2,3,29.433745185480298,38.835835880664575,17
2,3,26.66684985077591,68.28530458135364,15
2,3,24.14680190880695,54.605913494781035,15
2,4,29.0941406826589,42.989963877467304,16
2,4,26.941825814096838,52.41045932501223,18
2,4,22.77032486393922,46.47546800772044,12
2,4,26.1555746720908,53.71147959759657,14
2,4,28.237566789887957,52.435327187603,15
3,1,26.781416724310233,39.85885827338525,13
3,1,21.709948960252607,42.0868612118053,12
3,1,29.276011025320958,52.99593684739563,16
3,1,30.76468112779308,66.39051908751561,16
3,1,26.38137278271668,60.84617008670922,10
3,2,25.720523312310934,43.75432526381906,17
3,2,24.62187459610081,58.25922901647494,15
3,2,35.80707923151394,49.514316472437116,22
3,2,26.381577660678964,53.013136517184044,17
3,2,24.20852985650028,52.60361490736558,14
3,3,12.460410989013727,75.75449763723391,18
3,3,17.17359117484734,38.14711189412776,19
3,3,24.611633996947177,51.00919859012857,12
3,3,26.03147022421549,32.200227120323845,16
3,3,26.384362294308072,55.898359229587584,15
3,4,29.10753390224309,60.966084717214045,16
3,4,24.02923795339772,64.45662241101154,15
3,4,31.07294397241281,30.74854748162879,14
3,4,20.39241978565211,54.1276949719403,15
3,4,18.957786397784666,65.93369951383652,17
4,1,18.85506911223093,45.85984136957697,13
4,1,28.71148512093259,47.878494679180505,15
4,1,24.58540028830387,49.63462777795259,18
4,1,28.949089609102497,53.650187514330355,18
4,1,23.661467892214578,56.65159875745969,11
4,2,22.040539488935938,63.17820883711482,15
4,2,23.15823712436747,49.04512409555008,18
4,2,15.736915878791354,51.96278045472469,16
4,2,19.151923697929426,74.87997877221461,15
4,2,17.78982676820775,54.310989281149915,15
4,3,30.271611359876744,51.887531093298335,14
4,3,22.013349543186,36.577568747165515,15
4,3,28.9472992639509,50.02856047622227,14
4,3,32.582453008459794,47.78673846833119,16
4,3,24.04112595445029,49.88954170190626,17
4,4,26.419394531761757,44.245823587288335,13
4,4,16.244662403019607,43.13184347557299,14
4,4,20.906651112400986,42.79226368179878,15
4,4,25.281074246914194,47.85495484600226,15
4,4,26.49543451668076,63.68132648028627,19
5,1,21.20300941350559,60.490866265593276,12
5,1,38.424294996133995,46.40024882056944,19
5,1,22.708049304538058,33.1408354546126,14
5,1,25.32121778315019,41.55416571464046,15
5,1,28.24895933576759,45.42239466759492,17
5,2,24.869906826130023,51.03638004228304,13
5,2,21.78216306486443,43.373927242991854,12
5,2,30.226528319816524,70.06680690831891,15
5,2,33.077726616036,47.277324655816486,20
5,2,24.85153014475082,37.860555297604904,15
5,3,27.81133672701533,48.587382427174866,16
5,3,24.51293750748685,39.94622418406586,15
5,3,30.08227608851081,51.56155707275327,17
5,3,19.219163028700734,52.336336140898695,12
5,3,36.60430111997238,53.55587611628384,20
5,4,21.982343761058313,33.781417408757854,16
5,4,17.705752927809538,52.20711290970649,12
5,4,23.245410864034653,53.10450080541646,15
5,4,25.73354242072501,35.78891552495512,17
5,4,33.118106038401145,59.55365639730411,18
